PMID,DOI,Author Information,Abstract
32096053,10.1002/1873-3468.13108,"(1)MRC Laboratory of Molecular Biology, Cambridge, UK.

","The ordered assembly of Tau protein into abnormal filamentous inclusions is a 
defining characteristic of many human neurodegenerative diseases. Thirty years 
ago, we reported that Tau is an integral component of the intraneuronal 
filaments of Alzheimer's disease. All six brain Tau isoforms make up those 
filaments. Twenty years ago, we and others showed that mutations in MAPT, the 
Tau gene, cause familial forms of frontotemporal dementia, thus proving that 
dysfunction of Tau protein is sufficient to cause neurodegeneration and 
dementia. More recently, we showed that high-resolution structures of Tau 
filaments from human brain can be determined by electron cryo-microscopy. These 
filaments may form the seeds that underlie the prion-like properties of 
aggregated tau.

© 2018 Federation of European Biochemical Societies."
29790176,10.3233/jad-2008-15203,"(1)Institute of Neuroimmunology, Slovak Academy of Sciences, AD Centre, 
Bratislava, Slovak Republic.

","
Neurodegenerative foldopathies are characterized by aberrant folding of proteins 
leading to the intracellular and extracellular accumulation of insoluble 
misfolded proteins. One of the most prominent protein folding disorders is 
Alzheimer's disease (AD). In AD, there were identified two major driving forces 
behind neurodegeneration, misfolded proteins tau and amyloid-beta. Tau belongs 
to a family of intrinsically disordered proteins that are characterized by the 
absence of a rigid three-dimensional structure in their natural environment. 
However, in disease condition, tau truncation and hyperphosphorylation could 
lead to tau transformation from intrinsically disordered protein into highly 
ordered soluble and insoluble misfolded structures. Increased understanding of 
the molecular mechanism underlying pathological transformation of tau protein 
has opened up the possibility of targeting misfolded tau for therapeutic 
purposes. Pharmacological research has identified several therapeutic approaches 
targeting directly or indirectly tau cascade. Novel promising field of AD 
treatment represent monoclonal antibodies with chaperon like activities that 
will be able to neutralize the toxic gain of function of misfolded tau and thus 
increase its degradation. We suggest that chaperon like antibodies targeting 
disease modified tau may hold promise for the successful treatment of AD and 
related foldopathies."
18953106,10.1007/s12031-019-01325-9,"(1)Key Laboratory of Fermentation Engineering (Ministry of Education), Hubei 
University of Technology, Wuhan, China.
(2)Hubei Key Laboratory of Industrial Microbiology, Hubei University of 
Technology, Wuhan, China.
(3)Hubei Collaborative Innovation Center for Industrial Fermentation, Hubei 
University of Technology, Wuhan, China.
(4)Key Laboratory of Fermentation Engineering (Ministry of Education), Hubei 
University of Technology, Wuhan, China. zhengding.su@hbut.edu.cn.
(5)Hubei Key Laboratory of Industrial Microbiology, Hubei University of 
Technology, Wuhan, China. zhengding.su@hbut.edu.cn.
(6)Hubei Collaborative Innovation Center for Industrial Fermentation, Hubei 
University of Technology, Wuhan, China. zhengding.su@hbut.edu.cn.
(7)Department of Biological Engineering, Hubei University of Technology, Wuhan, 
430068, Hubei, China. zhengding.su@hbut.edu.cn.
(8)Key Laboratory of Fermentation Engineering (Ministry of Education), Hubei 
University of Technology, Wuhan, China. yqhuang@hbut.edu.cn.
(9)Hubei Key Laboratory of Industrial Microbiology, Hubei University of 
Technology, Wuhan, China. yqhuang@hbut.edu.cn.
(10)Hubei Collaborative Innovation Center for Industrial Fermentation, Hubei 
University of Technology, Wuhan, China. yqhuang@hbut.edu.cn.
(11)Department of Biological Engineering, Hubei University of Technology, Wuhan, 
430068, Hubei, China. yqhuang@hbut.edu.cn.

","

The major function of microtubule-associated protein tau is to promote 
microtubule assembly in the central nervous system. However, aggregation of 
abnormally phosphorylated tau is a hallmark of tauopathies. Although the 
molecular mechanisms of conformational transitions and assembling of tau 
molecules into amyloid fibril remain largely unknown, several factors have been 
shown to promote tau aggregation, including mutations, polyanions, 
phosphorylation, and interactions with other proteins. 14-3-3 proteins are a 
family of highly conserved, multifunctional proteins that are mainly expressed 
in the central nervous system. Being a scaffolding protein, 14-3-3 proteins 
interact with tau and regulate tau phosphorylation by bridging tau with various 
protein kinases. 14-3-3 proteins also directly regulate tau aggregation via 
specific and non-specific interactions with tau. In this review, we summarize 
recent advances in characterization of tau conformation and tau/14-3-3 
interaction. We discuss the connection between 14-3-3 binding and tau 
aggregation with a special emphasis on the regulatory role of 14-3-3 on tau 
conformation."
31062171,10.3390/ijms21124400,"(1)Department of Biotechnology, University of Verona, 37128 Verona, Italy.
(2)Department of Biology, University of Padova, 35121 Padova, Italy.

","
Ubiquitin, a protein modifier that regulates diverse essential cellular 
processes, is also a component of the protein inclusions characteristic of many 
neurodegenerative disorders. In Alzheimer's disease, the microtubule associated 
tau protein accumulates within damaged neurons in the form of cross-beta 
structured filaments. Both mono- and polyubiquitin were found linked to several 
lysine residues belonging to the region of tau protein that forms the structured 
core of the filaments. Thus, besides priming the substrate protein for 
proteasomal degradation, ubiquitin could also contribute to the assembly and 
stabilization of tau protein filaments. To advance our understanding of the 
impact of ubiquitination on tau protein aggregation and function, we applied 
disulfide-coupling chemistry to modify tau protein at position 353 with Lys48- 
or Lys63-linked di-ubiquitin, two representative polyubiquitin chains that 
differ in topology and structure. Aggregation kinetics experiments performed on 
these conjugates reveal that di-ubiquitination retards filament formation and 
perturbs the fibril elongation rate more than mono-ubiquitination. We further 
show that di-ubiquitination modulates tau-mediated microtubule assembly. The 
effects on tau protein aggregation and microtubule polymerization are 
essentially independent from polyubiquitin chain topology. Altogether, our 
findings provide novel insight into the consequences of ubiquitination on the 
functional activity and disease-related behavior of tau protein."
32575755,,"(1)Institute of Neuroinmmunology AD Centre, Slovak Academy of Sciences, 
Bratislava, Slovakia.

",
17262987,10.1242/jcs.1991.supplement_15.10,"(1)Department of Medicine (Division of Neurology), Brigham and Women's Hospital, 
Boston, MA.

","
Dissociated neuronal cultures from several regions of the nervous system 
elaborate two populations of neurites which have features of axons and 
dendrites. The microtubule-associated protein tau appears to segregate to the 
axon in some of these culture systems, however it does not do so until after the 
development of morphological polarity. Despite this observation, tau very likely 
has some role in the development of polarity because in cultured cerebellar 
macroneurons taken from the rat embryonic day 15 primordial cerebellum, the 
inhibition of tau expression by antisense techniques resulted in the failure of 
a single minor neurite to elongate and form an axon-like neurite. Tau antisense 
given continuously for up to 72 h kept neurons locked in a stage with minor 
neurites only; however when released from the effects of the antisense they 
fully recovered. The administration of tau antisense after the development of 
polarity resulted in the loss of the axon-like neurite, while dendrite-like 
neurites continued to grow. Together these results suggest that dendritic 
differentiation in cerebellar macroneurons requires the prior elaboration of an 
axon-like structure."
1668596,10.1042/BST0381006,"(1)CNRS-UMR 8576 - IFR 147, Lille 1 Science and Technology University, 59655 
Villeneuve d'Ascq Cedex, France. isabelle.landrieu@univ-lille1.fr

","

NMR spectroscopy was used to explore the different aspects of the normal and 
pathological functions of tau, but proved challenging because the protein 
contains 441 amino acids and has poor signal dispersion. We have set out to 
dissect the phosphorylation patterns of tau in order to understand better its 
role in the aggregation process and microtubule-binding regulation. Our current 
knowledge on the functional consequences of specific phosphorylations is still 
limited, mainly because producing and assessing quantitatively phosphorylated 
tau samples is far from straightforward, even in vitro. We use NMR spectroscopy 
as a proteomics tool to characterize the phosphorylation patterns of tau, after 
in vitro phosphorylation by recombinant kinases. The phosphorylated tau can next 
be use for functional assays or interaction assays with phospho-dependent 
protein partners, such as the prolyl cis-trans isomerase Pin1."
20658994,10.1007/s00702-004-0221-0,"(1)Department of Neurochemistry, New York State Institute for Basic Research in 
Developmental Disabilities, Staten Island, NY 10314, USA. cxgong@ultinet.net

","
Microtubule-associated protein tau undergoes several post-translational 
modifications and aggregates into paired helical filaments (PHFs) in Alzheimer's 
disease (AD) and other tauopathies. These modifications of tau include 
hyperphosphorylation, glycosylation, ubiquitination, glycation, polyamination, 
nitration, and proteolysis. Hyperphosphorylation and glycosylation are crucial 
to the molecular pathogenesis of neurofibrillary degeneration of AD. The others 
appear to represent failed mechanisms for neurons to remove damaged, misfolded, 
and aggregated proteins. This review summarizes the abnormal post-translational 
modifications of tau and discusses the pathophysiological relevance of 
hyperphosphorylation and glycosylation of tau. Total tau and phosphorylated tau 
levels in cerebrospinal fluid as a diagnostic biomarkers are also reviewed. 
Analyses of the current advances in tau modifications suggest that intervention 
addressing these abnormalities may offer promising therapeutic opportunities to 
prevent and treat neurofibrillary degeneration of AD and other tauopathies."
15517432,10.1523/JNEUROSCI.1920-20.2020,"(1)Institute for Fundamental Biomedical Research.
(2)Institute for Bio-innovation, Biomedical Sciences Research Centre ""Alexander 
Fleming,"" Vari, 16672, Greece.
(3)Institute for Fundamental Biomedical Research papanikolopoulou@fleming.gr.

","

Although Tau accumulation is clearly linked to pathogenesis in Alzheimer's 
disease and other Tauopathies, the mechanism that initiates the aggregation of 
this highly soluble protein in vivo remains largely unanswered. Interestingly, 
in vitro Tau can be induced to form fibrillar filaments by oxidation of its two 
cysteine residues, generating an intermolecular disulfide bond that promotes 
dimerization and fibrillization. The recently solved structures of Tau filaments 
revealed that the two cysteine residues are not structurally equivalent since 
Cys-322 is incorporated into the core of the fibril, whereas Cys-291 projects 
away from the core to form the fuzzy coat. Here, we examined whether mutation of 
these cysteines to alanine affects differentially Tau mediated toxicity and 
dysfunction in the well-established Drosophila Tauopathy model. Experiments were 
conducted with both sexes, or with either sex. Each cysteine residue contributes 
differentially to Tau stability, phosphorylation status, aggregation propensity, 
resistance to stress, learning, and memory. Importantly, our work uncovers a 
critical role of Cys-322 in determining Tau toxicity and 
dysfunction.SIGNIFICANCE STATEMENT Cysteine-291 and Cysteine-322, the only two 
cysteine residues of Tau present in only 4-Repeat or all isoforms, respectively, 
have competing functions: as the key residues in the catalytic center, they 
enable Tau auto-acetylation; and as residues within the microtubule-binding 
repeat region are important not only for Tau function but also instrumental in 
the initiation of Tau aggregation. In this study, we present the first in vivo 
evidence that their substitution leads to differential consequences on Tau's 
physiological and pathophysiological functions. These differences raise the 
possibility that cysteine residues play a potential role in determining the 
functional diversity between isoforms.

Copyright © 2021 the authors."
33334867,10.1016/j.bbapap.2019.04.004,"(1)National Centre for Biological Sciences, Tata Institute of Fundamental 
Research, Bengaluru 560065, India.
(2)National Centre for Biological Sciences, Tata Institute of Fundamental 
Research, Bengaluru 560065, India; Indian Institute of Science Education and 
Research, Pune 411008, India. Electronic address: jayant@iiserpune.ac.in.

","

The dynamic nature of the tau protein under physiological conditions is likely 
to be critical for it to perform its diverse functions inside a cell. Under some 
conditions, this intrinsically disordered protein assembles into pathogenic 
aggregates that are self-perpetuating, toxic and infectious in nature. The role 
of liquid-liquid phase separation in the initiation of the aggregation reaction 
remains to be delineated. Depending on the nature of the aggregate, its 
structure, and its localization, neurodegenerative disorders with diverse 
clinical features are manifested. The prion-like mechanism by which these 
aggregates propagate and spread across the brain is not well understood. Various 
factors (PTMs, mutations) have been strongly associated with the pathological 
aggregates of tau. However, little is known about how these factors modulate the 
pathological properties linked to aggregation. This review describes the current 
progress towards understanding the mechanism of propagation of tau aggregates.

Copyright © 2019 Elsevier B.V. All rights reserved."
30986567,10.1093/jb/mvaa101,"(1)Department of Biochemistry, Faculty of Biological Sciences, Tarbiat Modares 
University, Tehran, Jalal AleAhmad Highway, P.O.Box: 14115-111, Iran.
(2)Department of Bioscience and Biotechnology, Malek Ashtar University of 
Technology, Tehran, Lavizan, Babaei Highway, P.O.Box: 15875-1774, Iran.
(3)Institute of Biochemistry and Biophysics (IBB), University of Tehran, Tehran, 
Enghelab Square, Postal Code: 1417466191, Iran.

","
Amyloid-β (Aβ) peptide and tau protein are two hallmark proteins in Alzheimer's 
disease (AD); however, the parameters, which mediate the abnormal aggregation of 
Aβ and tau, have not been fully discovered. Here, we have provided an optimum 
method to purify tau protein isoform 1N4R by using nickel-nitrilotriacetic acid 
agarose chromatography under denaturing condition. The biochemical and 
biophysical properties of the purified protein were further characterized using 
in vitro tau filament assembly, tubulin polymerization assay, circular dichroism 
(CD) spectroscopy and atomic force microscopy. Afterwards, we investigated the 
effect of tau protein on aggregation of Aβ (25-35) peptide using microscopic 
imaging and cell viability assay. Incubation of tau at physiologic and 
supra-physiologic concentrations with Aβ25-35 for 40 days under reducing and 
non-reducing conditions revealed formation of two types of aggregates with 
distinct morphologies and dimensions. In non-reducing condition, the 
co-incubated sample showed granular aggregates, while in reducing condition, 
they formed annular protofibrils. Results from cell viability assay revealed the 
increased cell viability for the co-incubated sample. Therefore, the 
disassembling action shown by tau protein on Aβ25-35 suggests the possibility 
that tau may have a protective role in preventing Aβ peptide from acquiring the 
cytotoxic, aggregated form against oxidative stress damages.

© The Author(s) 2020. Published by Oxford University Press on behalf of the 
Japanese Biochemical Society. All rights reserved."
32857841,10.1074/jbc.AC120.013166,"(1)Department of Physiology and Biophysics, Case Western Reserve University, 
Cleveland, Ohio 44106.
(2)Department of Physiology and Biophysics, Case Western Reserve University, 
Cleveland, Ohio 44106. Electronic address: witold.surewicz@case.edu.

","
Tau is a microtubule-associated protein that plays a major role in Alzheimer's 
disease (AD) and other tauopathies. Recent reports indicate that, in the 
presence of crowding agents, tau can undergo liquid-liquid phase separation 
(LLPS), forming highly dynamic liquid droplets. Here, using recombinantly 
expressed proteins, turbidimetry, fluorescence microscopy imaging, and 
fluorescence recovery after photobleaching (FRAP) assays, we show that the 
divalent transition metal zinc strongly promotes this process, shifting the 
equilibrium phase boundary to lower protein or crowding agent concentrations. We 
observed no tau LLPS-promoting effect for any other divalent transition metal 
ions tested, including Mn2+, Fe2+, Co2+, Ni2+, and Cu2+ We also demonstrate that 
multiple zinc-binding sites on tau are involved in the LLPS-promoting effect and 
provide insights into the mechanism of this process. Zinc concentration is 
highly elevated in AD brains, and this metal ion is believed to be an important 
player in the pathogenesis of this disease. Thus, the present findings bring a 
new dimension to understanding the relationship between zinc homeostasis and the 
pathogenic process in AD and related neurodegenerative disorders.

© 2020 Singh et al."
32229582,10.3233/JAD-190604,"(1)Interdisciplinary Biophysics Graduate Program, Ohio State University, 
Columbus, OH, USA.
(2)Ohio State Biochemistry Program, Ohio State University, Columbus, OH, USA.
(3)BioDiscovery Institute, University of North Texas, Denton, TX, USA.
(4)Department of Anatomy and Neurobiology; Molecular & Structural Biology 
Program, Greenebaum Cancer Center, University of Maryland, Baltimore, MD, USA.
(5)Department of Biological Chemistry & Pharmacology, Ohio State University, 
Columbus, OH, USA.

","
Tau is a microtubule-associated protein that normally interacts in monomeric 
form with the neuronal cytoskeleton. In Alzheimer's disease, however, it 
aggregates to form the structural component of neurofibrillary lesions. The 
transformation is controlled in part by age- and disease-associated 
post-translational modifications. Recently we reported that tau isolated from 
cognitively normal human brain was methylated on lysine residues, and that 
high-stoichiometry methylation depressed tau aggregation propensity in vitro. 
However, whether methylation stoichiometry reached levels needed to influence 
aggregation propensity in human brain was unknown. Here we address this problem 
using liquid chromatography-tandem mass spectrometry approaches and 
human-derived tau samples. Results revealed that lysine methylation was present 
in soluble tau isolated from cognitively normal elderly cases at multiple sites 
that only partially overlapped with the distributions reported for cognitively 
normal middle aged and AD cohorts, and that the quality of methylation shifted 
from predominantly dimethyl-lysine to monomethyl-lysine with aging and disease. 
However, bulk mol methylation/mol tau stoichiometries never exceeded 1 mol 
methyl group/mol tau protein. We conclude that lysine methylation is a 
physiological post-translational modification of tau protein that changes 
qualitatively with aging and disease, and that pharmacological elevation of tau 
methylation may provide a means for protecting against pathological tau 
aggregation."
31450505,10.12182/20230960501,"(1)Department of Clinical Laboratory, Tongji Hospital, Tongji Medical College, 
Huazhong University of Science and Technology, Wuhan 430030, China.
(2)Shenzhen Baoan District People's Hospital, Shenzhen 518101, China.

","
OBJECTIVE: To explore through big data analysis whether aberrant alternative 
splicing (AS) events precede tau P301S-induced neurodegenerative phenotype in 
6-month-old PS19 mice.
METHODS: The original sequencing files of the GSE182170 dataset was downloaded 
from the European Nucleotide Archive (ENA) database with axel, aligned to the 
reference genome of the ENSEMBL database by using STAR software, and common AS 
event analysis and visualization were performed with rMATS and rmats2sashimiplot 
R packages. RSEM software was utilized for gene transcript quantification, 
Deseq2, edgeR, and limma R packages were used for differential expression 
analysis, and clusterProfiler R package was applied for GO enrichment analysis. 
String and Cytoscape were used for protein-protein interaction (PPI) analysis. 
Gene expression correlation analysis was performed with ggcorrplot R package. AS 
events were validated using PCR followed by agarose electrophoresis.
RESULTS: A total of 8 079 AS events were identified with rMATS and 117 
significant AS events (ΔPSI>0.1, sequencing coverage >1) were selected 
eventually. The most frequent type of AS event was skipped exon (SE) (50.43%), 
followed by alternative 3' splice site (A3SS) and mutually exclusive exons 
(MXE). GO enrichment analysis revealed that synapse organization genes were 
aberrantly spliced in SE events and spliceosome genes were spliced in A3SS 
events. PPI and correlation analyses showed that the splicing factor Snrpn was 
significantly associated with the largest number of transcripts. Agarose 
electrophoresis confirmed the aberrant AS event of the Lrp8 gene in PS19 mice.
CONCLUSION: Dysregulated splicing factors may contribute to tau P301S-induced 
aberrant AS changes. The study also increases the understanding of the cycling 
of tau protein and splicing factors in tauopathies.



Copyright© by Editorial Board of Journal of Sichuan University (Medical 
Sciences)."
37866941,10.1016/j.ijbiomac.2024.130802,"(1)Central European Institute of Technology, Masaryk University, Kamenice 5, 625 
00 Brno, Czech Republic; National Centre for Biomolecular Research, Faculty of 
Science, Masaryk University, Kamenice 5, 625 00 Brno, Czech Republic.
(2)Central European Institute of Technology, Masaryk University, Kamenice 5, 625 
00 Brno, Czech Republic; National Centre for Biomolecular Research, Faculty of 
Science, Masaryk University, Kamenice 5, 625 00 Brno, Czech Republic; Department 
of Chemistry, Faculty of Science, Masaryk University, Kamenice 5, 625 00 Brno, 
Czech Republic.
(3)Central European Institute of Technology, Masaryk University, Kamenice 5, 625 
00 Brno, Czech Republic; Department of Chemistry, Faculty of Science, Masaryk 
University, Kamenice 5, 625 00 Brno, Czech Republic. Electronic address: 
jozef.hritz@ceitec.muni.cz.

","

Tau protein is an intrinsically disordered protein that plays a key role in 
Alzheimer's disease (AD). In brains of AD patients, Tau occurs abnormally 
phosphorylated and aggregated in neurofibrillary tangles (NFTs). Together with 
Tau, 14-3-3 proteins - abundant cytosolic dimeric proteins - were found 
colocalized in the NFTs. However, so far, the molecular mechanism of the process 
leading to pathological changes in Tau structure as well as the direct 
involvement of 14-3-3 proteins are not well understood. Here, we aimed to reveal 
the effects of phosphorylation by protein kinase A (PKA) on Tau structural 
preferences and provide better insight into the interaction between Tau and 
14-3-3 proteins. We also addressed the impact of monomerization-inducing 
phosphorylation of 14-3-3 at S58 on the binding to Tau protein. Using 
multidimensional nuclear magnetic resonance spectroscopy (NMR), chemical 
cross-linking analyzed by mass spectrometry (MS) and PAGE, we unveiled 
differences in their binding affinity, stoichiometry, and interfaces with 
single-residue resolution. We revealed that the interaction between 14-3-3 and 
Tau proteins is mediated not only via the 14-3-3 amphipathic binding grooves, 
but also via less specific interactions with 14-3-3 protein surface and, in the 
case of monomeric 14-3-3, also partially via the exposed dimeric interface. In 
addition, the hyperphosphorylation of Tau changes its affinity to 14-3-3 
proteins. In conclusion, we propose quite complex interaction mode between the 
Tau and 14-3-3 proteins.

Copyright © 2024 The Authors. Published by Elsevier B.V. All rights reserved."
38492709,10.1016/s0925-4439(00)00038-7,"(1)Max-Planck-Unit for Structural Molecular Biology, Hamburg, Germany.
","Over the past few years the systematic investigation of paired helical filament 
assembly from tau protein in vitro has become feasible. We review our current 
understanding of the structure and conformations of tau protein and how this 
affects tau's assembly into the pathological paired helical filaments in 
Alzheimer's disease."
10899437,10.1074/jbc.RA118.001784,"(1)From the Dementia Research Unit, School of Medical Sciences.
(2)the Bioanalytical Mass Spectrometry Facility, and.
(3)the Motor Neuron Disease Unit, School of Medical Sciences, The University of 
New South Wales, Sydney, New South Wales 2052 and.
(4)From the Dementia Research Unit, School of Medical Sciences, 
l.ittner@unsw.edu.au.
(5)Neuroscience Australia, Sydney, New South Wales 2031, Australia.

","
Compared with other mammalian species, humans are particularly susceptible to 
tau-mediated neurodegenerative disorders. Differential interactions of the tau 
protein with other proteins are critical for mediating tau's physiological 
functions as well as tau-associated pathological processes. Primate tau harbors 
an 11-amino acid-long motif in its N-terminal region (residues 18-28), which is 
not present in non-primate species and whose function is unknown. Here, we used 
deletion mutagenesis to remove this sequence region from the longest human tau 
isoform, followed by glutathione S-transferase (GST) pulldown assays paired with 
isobaric tags for relative and absolute quantitation (iTRAQ) multiplex labeling, 
a quantitative method to measure protein abundance by mass spectrometry. Using 
this method, we found that the primate-specific N-terminal tau motif 
differentially mediates interactions with neuronal proteins. Among these binding 
partners are proteins involved in synaptic transmission (synapsin-1 and 
synaptotagmin-1) and signaling proteins of the 14-3-3 family. Furthermore, we 
identified an interaction of tau with a member of the annexin family (annexin 
A5) that was linked to the 11-residue motif. These results suggest that primate 
Tau has evolved specific residues that differentially regulate protein-protein 
interactions compared with tau proteins from other non-primate mammalian 
species. Our findings provide in vitro insights into tau's interactions with 
other proteins that may be relevant to human disease.

© 2018 Stefanoska et al."
29382714,10.31083/j.jin2206145,"(1)Center for Photochemical Sciences, Department of Chemistry, Bowling Green 
State University, Bowling Green, OH 43403, USA.

","

Fluctuations in mechanical force vectors within living cells can substantially 
influence the behavior and functions of proteins. Tau protein can spontaneously 
be raptured and entangled in refolding under picoNewton compressive forces that 
are biologically available in a living cell: a hidden aggregation pathway due to 
stress and crowding. Our findings were achieved through a customized 
modification of atomic force microscopy (AFM) for single-molecule manipulation. 
This previously hidden phenomenon of proteins rupturing collectively while 
subsequently and spontaneously refolding into a complex entangled conformation, 
distinct from the Tau protein's folded or unfolded states, could potentially 
explain the early-event initiation of the aggregation of the Tau protein seen in 
various neurodegenerative diseases. This article introduces our recent discovery 
of the missing Tau protein property that is of significant relevance to the Tau 
protein and neurodegenerative disease research and medical treatment, aiming to 
stimulate the collective observation and a new perspective on the Tau 
aggregation mechanism and disease mechanism studies.

© 2023 The Author(s). Published by IMR Press."
38176940,10.1007/978-1-4939-7816-8_27,"(1)Department of Anatomy, Histology and Neurosciences, Universidad Autónoma de 
Madrid, Arzobispo Morcillo, 4, Madrid, 28029, Spain.
(2)Centro de Biología Molecular ""Severo Ochoa"" CSIC-UAM, Nicolás Cabrera, 1, 
Madrid, 28049, Spain.
(3)CIBERNED, Queen Sofia Foundation Alzheimer Center, CIEN Foundation, Instituto 
de Salud Carlos III, valderrebollo, 5, Madrid, 28031, Spain. 
mmedina@ciberned.es.

","

The brain-specific tau protein binds directly through microtubules to regulate 
dynamically its structure and function. It also plays a critical role in the 
pathogenesis of a number of neurodegenerative disorders collectively known as 
tauopathies, the most common of which is Alzheimer's disease (AD). Under 
pathological conditions, the natively unfolded tau protein self-assembles into 
filamentous structures of aggregated, hyperphosphorylated tau. In AD brains, tau 
accumulates in the neuronal perikarya and processes as paired helical filaments 
(PHF) forming the neurofibrillary tangles (NFT) characteristic of the disease. 
Prominent tau neurofibrillary pathology is a common feature in all tauopathies 
and its development is associated with progressive neuronal loss and cognitive 
decline. A precise understanding of the cellular, biochemical, and structural 
mechanisms involved in the process of tau protein aggregation and fibril 
formation is key to design strategies to prevent, slow down, or stop the 
neurodegenerative pathway leading to neuronal loss in AD and other tauopathies. 
Herein, we describe some complementary experimental procedures for PHF 
purification from human postmortem brain, tau expression and purification, as 
well as in vitro formation of tau filaments from purified recombinant tau."
29886549,10.1016/j.molmed.2015.03.003,"(1)Neurodegeneration, H. Lundbeck A/S, DK-2500 Valby, Denmark. Electronic 
address: jatp@lundbeck.com.
(2)Departments of Neuroscience and Physiology, and Psychiatry, New York 
University School of Medicine, New York, NY 10016, USA. Electronic address: 
einar.sigurdsson@nyumc.org.

","
Targeting pathological tau protein in Alzheimer's disease (AD) and related 
tauopathies has shown great potential in animal models. Given that tau lesions 
correlate better with the degree of dementia than do amyloid-β (Aβ) plaques, 
their clearance may be clinically more efficacious than removing Aβ when 
cognitive deficits become evident in AD. Several complementary mechanisms of 
antibody-mediated removal of tau aggregates are likely to act in concert and the 
importance of each one may depend on antibody properties, the disease, and its 
stage. Clinical trials of tau immunotherapy are already underway and several 
more are likely to be initiated in the near future.

Copyright © 2015 Elsevier Ltd. All rights reserved."
25846560,10.1074/jbc.M115.700914,"(1)From Lille University, CNRS UMR8576, F-59000 Lille, France.
(2)Department of Systems Biology, Harvard Medical School, Boston, Massachusetts 
02115, and.
(3)INSERM UMR1195 Paris SUD University, Le Kremlin Bicêtre 94276, France.
(4)From Lille University, CNRS UMR8576, F-59000 Lille, France, 
isabelle.landrieu@univ-lille1.fr.

","
Tau neuronal protein has a central role in neurodegeneration and is implicated 
in Alzheimer disease development. Abnormal phosphorylation of Tau impairs its 
interaction with other proteins and is associated with its dysregulation in 
pathological conditions. Molecular mechanisms leading to hyperphosphorylation of 
Tau in pathological conditions are unknown. Here, we characterize 
phosphorylation of Tau by extracellular-regulated kinase (ERK2), a 
mitogen-activated kinase (MAPK) that responds to extracellular signals. Analysis 
ofin vitrophosphorylated Tau by activated recombinant ERK2 with nuclear magnetic 
resonance spectroscopy (NMR) reveals phosphorylation of 15 Ser/Thr sites.In 
vitrophosphorylation of Tau using rat brain extract and subsequent NMR analysis 
identifies the same sites. Phosphorylation with rat brain extract is known to 
transform Tau into an Alzheimer disease-like state. Our results indicate that 
phosphorylation of Tau by ERK2 alone is sufficient to produce the same 
characteristics. We further investigate the mechanism of ERK2 phosphorylation of 
Tau. Kinases are known to recognize their protein substrates not only by their 
specificity for a targeted Ser or Thr phosphorylation site but also by binding 
to linear-peptide motifs called docking sites. We identify two main ERK2 docking 
sites in Tau sequence using NMR. Our results suggest that ERK2 dysregulation in 
Alzheimer disease could lead to abnormal phosphorylation of Tau resulting in the 
pathology of the disease.

© 2016 by The American Society for Biochemistry and Molecular Biology, Inc."
26858248,10.1016/S0140-6736(16)32107-9,"(1)Alzheimer's Therapeutic Research Institute, University of Southern 
California, CA, USA; Department of Neuroscience, University of California, San 
Diego, CA 92121, USA. Electronic address: mrafii@usc.edu.

","
Comment on
    Lancet. 2016 Dec 10;388(10062):2873-2884. doi: 
10.1016/S0140-6736(16)31275-2."
27863808,10.1093/protein/gzz010,"(1)Cellular Protein Chemistry, Bijvoet Center for Biomolecular Research, Utrecht 
University, Padualaan 8, Utrecht, The Netherlands.
(2)Science for Life, Utrecht University, Padualaan 8, Utrecht, The Netherlands.

","
Tau protein is a microtubule-stabilising protein whose aggregation is linked to 
Alzheimer's Disease and other forms of dementia. Tau biology is at the heart of 
cytoskeletal dynamics and neurodegenerative mechanisms, making it a crucial 
protein to study. Tau purification, however, is challenging as Tau is 
disordered, which makes it difficult to produce in recombinant system and is 
degradation-prone. It is thus challenging to obtain pure and stable preparations 
of Tau. Here, we present a fast and robust protocol to purify Tau recombinantly 
in Escherichia coli. Our protocol allows purifying Tau either tag-less or 
FLAG-tagged at its N-terminus, and Tau fragments of interest. By exploiting a 
cleavable affinity tag and two anion exchange columns, we obtained Tau 
preparations of high purity, stable and suitable for in vitro studies, including 
aggregation experiments that resemble neurodegenerative processes.

© The Author(s) 2019. Published by Oxford University Press. All rights reserved. 
For Permissions, please e-mail: journals.permissions@oup.com."
31265107,10.1016/s0962-8924(98)01368-3,"(1)Max-Planck-Unit for Structural Molecular Biology, Hamburg, Germany. 
mand@mpasmb.desy.de

","
Neurofibrillar protein aggregates containing tau are one of the major hallmarks 
of Alzheimer's disease (AD). In normal cells, tau stabilizes axonal 
microtubules, which are the tracks for intracellular traffic. In AD, tau becomes 
abnormally phosphorylated, aggregates into paired helical filaments and loses 
its ability to maintain the microtubule tracks. There is renewed interest in tau 
as a causative factor in neurodegenerative disease based on recently discovered 
mutations in the gene encoding tau. This article discusses how changes in tau 
protein could lead to retraction of neuronal processes and thus cell death and 
argues that tau pathology, rather than beta-amyloid, might be the most reliable 
indicative factor for AD."
